中心アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,右アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,左アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,現在の車体中心の緯度,現在の車体中心の経度,現在の車体の方位角,車体姿勢,目標の緯度,目標の経度,目標の方位角,目標位置と現在位置の距離,目標位置と現在姿勢の方位角の差
1729999736.9541643,1729967336.8,36.0832079867,140.0776645183,65.48,4,1729999736.9603515,1729967336.8,36.0832054017,140.077668265,65.511,4,1729999736.9646144,1729967336.8,36.0832096683,140.0776690183,65.521,4,36.08320803769481,140.0776644589066,81.66156124029023,-8.338438759709769,36.083208948105906,140.07766251434052,-3.2256146546684055,0.7450273745207169,12.128991607710875
1729999737.1471956,1729967337.0,36.083207985,140.0776645117,65.481,4,1729999737.1677752,1729967337.0,36.0832054083,140.0776682783,65.507,4,1729999737.173412,1729967337.0,36.08320965,140.07766904,65.521,4,36.08320802288116,140.07766446550616,81.8271162010367,-8.172883798963301,36.08320745169015,140.07768411355718,-5.588173630312758,2.6896592278994778,4.912588964450419
1729999737.3832822,1729967337.2,36.0832079983,140.0776645133,65.482,4,1729999737.3869,1729967337.2,36.0832054067,140.0776682733,65.50800000000001,4,1729999737.3736615,1729967337.2,36.0832096733,140.0776690033,65.513,4,36.08320802519469,140.0776644844598,81.68940336022112,-8.310596639778872,36.08320745169015,140.07768411355718,-5.588173630312758,2.6879694802676153,5.0427691809807245
1729999737.7351036,1729967337.6,36.0832079767,140.0776645333,65.47800000000001,4,1729999737.7308576,1729967337.6,36.0832054083,140.077668295,65.505,4,1729999737.7225235,1729967337.6,36.08320964,140.0776689633,65.524,4,36.08320801308195,140.07766445958367,82.07664744855339,-7.923352551446607,36.08320745169015,140.07768411355718,-5.588173630312758,2.6901301899781864,4.686824792927536
1729999737.9384878,1729967337.8,36.0832079483,140.0776644767,65.5,4,1729999737.9351213,1729967337.8,36.083205375,140.077668265,65.518,4,1729999737.92699,1729967337.8,36.0832096133,140.0776689817,65.528,4,36.083207961434056,140.07766444454467,82.67962475107264,-7.320375248927369,36.08320745169015,140.07768411355718,-5.588173630312758,2.691165268285203,4.2072934419651995
1729999738.1592877,1729967338.0,36.0832079333,140.0776647283,65.498,4,1729999738.154525,1729967338.0,36.0832053683,140.0776685517,65.521,4,1729999738.1468706,1729967338.0,36.0832096433,140.0776692667,65.528,4,36.083207961817145,140.07766444371262,82.16790916683269,-7.832090833167307,36.08320745169015,140.07768411355718,-5.588173630312758,2.6912424075297805,4.71819203828513
1729999738.352854,1729967338.2,36.0832079133,140.0776652233,65.493,4,1729999738.3834407,1729967338.2,36.0832053517,140.077669055,65.522,4,1729999738.3820133,1729967338.2,36.0832096317,140.077669715,65.53,4,36.08320796844602,140.07766472871816,82.2525178166918,-7.747482183308197,36.08320745169015,140.07768411355718,-5.588173630312758,2.6656509811127767,4.587824778253617
1729999738.5796845,1729967338.4,36.0832078817,140.077665815,65.49000000000001,4,1729999738.5665443,1729967338.4,36.083205315,140.0776697,65.525,4,1729999738.575652,1729967338.4,36.0832095917,140.0776703483,65.524,4,36.08320791884122,140.0776651988117,82.85031905186507,-7.149680948134923,36.08320745169015,140.07768411355718,-5.588173630312758,2.623073066374402,4.059091997519281
1729999738.7620103,1729967338.6,36.083207825,140.0776664983,65.488,4,1729999738.7640064,1729967338.6,36.08320526,140.0776704667,65.523,4,1729999738.743482,1729967338.6,36.0832095883,140.0776710583,65.52600000000001,4,36.083207873352386,140.0776658368702,82.97042042633397,-7.029579573666022,36.08320745169015,140.07768411355718,-5.588173630312758,2.5654160321543773,3.9823557606273536
1729999738.9701333,1729967338.8,36.0832078017,140.0776673917,65.495,4,1729999738.9670105,1729967338.8,36.083205225,140.0776713233,65.523,4,1729999739.1418555,1729967339.0,36.0832095417,140.0776727883,65.529,4,36.0832078033815,140.0776665693439,83.65575832351104,-6.344241676488956,36.08320745169015,140.07768411355718,-5.588173630312758,2.4991270986847303,3.394361997414482
